Start,Year,Month,Day,Value
2024-02-27,2024,2,27,-0.09155891703516161
2024-02-26,2024,2,26,-0.04619109897468299
2024-02-25,2024,2,25,-0.051065116168325986
2024-02-24,2024,2,24,-0.003773152084484366
2024-02-23,2024,2,23,-0.014047233137327808
2024-02-22,2024,2,22,0.00997272322346987
2024-02-21,2024,2,21,0.009566770443514727
2024-02-20,2024,2,20,0.008551489686547953
2024-02-19,2024,2,19,-0.010359501331075549
2024-02-18,2024,2,18,0.0073117163730529455
2024-02-17,2024,2,17,-0.008576156648677724
2024-02-16,2024,2,16,0.00863179693310201
2024-02-15,2024,2,15,-0.004492447678556388
2024-02-14,2024,2,14,-0.001322751643161979
2024-02-13,2024,2,13,-0.040921913174203794
2024-02-12,2024,2,12,0.005520900588811273
2024-02-11,2024,2,11,-0.035566524894170115
2024-02-10,2024,2,10,-0.010610335455858433
2024-02-09,2024,2,9,-0.01404916683544144
2024-02-08,2024,2,8,-0.038484167644096345
2024-02-07,2024,2,7,-0.02204251640977084
2024-02-06,2024,2,6,-0.02797495439827813
2024-02-05,2024,2,5,-0.00912370413191077
2024-02-04,2024,2,4,-0.002430277260323521
2024-02-03,2024,2,3,0.008429291800700511
2024-02-02,2024,2,2,0.005071516358329475
2024-02-01,2024,2,1,-0.002775377222320685
2024-01-31,2024,1,31,-0.010695860836678506
2024-01-30,2024,1,30,0.007116395897138972
2024-01-29,2024,1,29,0.00821145469518747
2024-01-28,2024,1,28,-0.029331161541144013
2024-01-27,2024,1,27,0.002234600615590665
2024-01-26,2024,1,26,-0.00587292766258507
2024-01-25,2024,1,25,-0.04736954620311451
2024-01-24,2024,1,24,0.005411690436426753
2024-01-23,2024,1,23,-0.006799860241590849
2024-01-22,2024,1,22,-0.008988261278572551
2024-01-21,2024,1,21,0.050164902278437395
2024-01-20,2024,1,20,0.002861851845532115
2024-01-19,2024,1,19,-0.001004368233498809
2024-01-18,2024,1,18,-0.007964917931309046
2024-01-17,2024,1,17,0.03492530884855327
2024-01-16,2024,1,16,0.008672504130592174
2024-01-15,2024,1,15,-0.012263206748171385
2024-01-14,2024,1,14,-0.020712938214280996
2024-01-13,2024,1,13,0.026063123501300467
2024-01-12,2024,1,12,0.001307034669924434
2024-01-11,2024,1,11,0.07759169544823408
2024-01-10,2024,1,10,0.004460777746647437
2024-01-09,2024,1,9,-0.010408066039856223
2024-01-08,2024,1,8,0.01759373441403156
2024-01-07,2024,1,7,-0.06723267960079049
2024-01-06,2024,1,6,0.0020803668509987716
2024-01-05,2024,1,5,0.0038687720088166344
2024-01-04,2024,1,4,0.001722305660180723
2024-01-03,2024,1,3,-0.03149737802683106
2024-01-02,2024,1,2,0.048761215108694245
2024-01-01,2024,1,1,-0.018761286466643767
2023-12-31,2023,12,31,-0.043968292958355804
2023-12-30,2023,12,30,-0.0005979417620860517
2023-12-29,2023,12,29,-0.0033573798044024272
2023-12-28,2023,12,28,0.01263226124555139
2023-12-27,2023,12,27,0.01842862108828136
2023-12-26,2023,12,26,-0.0201266222214187
2023-12-25,2023,12,25,0.025405598522848294
2023-12-24,2023,12,24,-0.013759140173435824
2023-12-23,2023,12,23,0.016356770244652097
2023-12-22,2023,12,22,0.005054289451665639
2023-12-21,2023,12,21,-0.0022661040719711423
2023-12-20,2023,12,20,-0.004650769291780321
2023-12-19,2023,12,19,-0.0313196259248123
2023-12-18,2023,12,18,0.008612887849430706
2023-12-17,2023,12,17,-0.028946032089281815
2023-12-16,2023,12,16,0.01901904738929794
2023-12-15,2023,12,15,-0.006916816484508814
2023-12-14,2023,12,14,0.0247371325198813
2023-12-13,2023,12,13,-0.002265134762716059
2023-12-12,2023,12,12,-0.03303471646946221
2023-12-11,2023,12,11,-0.007046490134369421
2023-12-10,2023,12,10,0.05983065301360391
2023-12-09,2023,12,9,-0.00140469357141626
2023-12-08,2023,12,8,0.01133292478627368
2023-12-07,2023,12,7,-0.02171262843373256
2023-12-06,2023,12,6,0.010683538952758198
2023-12-05,2023,12,5,0.00845447205092853
2023-12-04,2023,12,4,-0.048565399884640925
2023-12-03,2023,12,3,-0.05016449546893931
2023-12-02,2023,12,2,-0.012117617219626453
2023-12-01,2023,12,1,-0.020532209139098256
2023-11-30,2023,11,30,-0.024696867856931703
2023-11-29,2023,11,29,0.0024625613403639335
2023-11-28,2023,11,28,-0.0008234449409449951
2023-11-27,2023,11,27,-0.013540219540365328
2023-11-26,2023,11,26,0.005599708746906629
2023-11-25,2023,11,25,0.008177400065243035
2023-11-24,2023,11,24,-0.001987903692446835
2023-11-23,2023,11,23,-0.01110334424692816
2023-11-22,2023,11,22,0.00413068430186847
2023-11-21,2023,11,21,-0.04106205124169193
2023-11-20,2023,11,20,0.0415191046488097
2023-11-19,2023,11,19,-0.0020674810716059255
2023-11-18,2023,11,18,-0.02242482936749468
2023-11-17,2023,11,17,-0.0012425860413145529
2023-11-16,2023,11,16,-0.007986838822002795
2023-11-15,2023,11,15,0.04428262932119509
2023-11-14,2023,11,14,-0.06333186483975695
2023-11-13,2023,11,13,0.027519881129018486
2023-11-12,2023,11,12,0.013684392162183201
2023-11-11,2023,11,11,0.0012720395901730797
2023-11-10,2023,11,10,0.00642366103674874
2023-11-09,2023,11,9,-0.014735401419644134
2023-11-08,2023,11,8,-0.030226085235284472
2023-11-07,2023,11,7,-0.007230333566601743
2023-11-06,2023,11,6,-0.011465051603101628
2023-11-05,2023,11,5,8.594859051669346e-05
2023-11-04,2023,11,4,-7.880972196261382e-05
2023-11-03,2023,11,3,-0.008305458618202977
2023-11-02,2023,11,2,0.005399156925667725
2023-11-01,2023,11,1,0.014505919260669131
2023-10-31,2023,10,31,-0.02221121531205128
2023-10-30,2023,10,30,-0.004722819206548934
2023-10-29,2023,10,29,0.0014143247263032066
2023-10-28,2023,10,28,-0.01303294649272857
2023-10-27,2023,10,27,-0.005246604529535404
2023-10-26,2023,10,26,0.007018657388082161
2023-10-25,2023,10,25,0.009192771260188692
2023-10-24,2023,10,24,-0.017805738346329036
2023-10-23,2023,10,23,-0.02738418945703991
2023-10-22,2023,10,22,-0.09470167914602534
2023-10-21,2023,10,21,-0.002367224038872351
2023-10-20,2023,10,20,-0.007694569688338149
2023-10-19,2023,10,19,-0.03321187911799761
2023-10-18,2023,10,18,-0.013092032302974843
2023-10-17,2023,10,17,0.0029857161637707463
2023-10-16,2023,10,16,0.0033273901222266034
2023-10-15,2023,10,15,-0.04872522369493382
2023-10-14,2023,10,14,-0.01066275425831087
2023-10-13,2023,10,13,-0.0006323973095891944
2023-10-12,2023,10,12,-0.0038547891086384567
2023-10-11,2023,10,11,0.003956863795359311
2023-10-10,2023,10,10,0.020130928292992678
2023-10-09,2023,10,9,0.007049123277271363
2023-10-08,2023,10,8,0.012549217636872001
2023-10-07,2023,10,7,0.0009368225227674998
2023-10-06,2023,10,6,-0.0009167743498714742
2023-10-05,2023,10,5,-0.018441294637266736
2023-10-04,2023,10,4,0.012898449150720026
2023-10-03,2023,10,3,-0.013021348040281211
2023-10-02,2023,10,2,0.006901923075581351
2023-10-01,2023,10,1,0.013275546161494844
2023-09-30,2023,9,30,-0.03680408597410789
2023-09-29,2023,9,29,-0.002094369874912516
2023-09-28,2023,9,28,0.004065200013483761
2023-09-27,2023,9,27,-0.024436134733011983
2023-09-26,2023,9,26,-0.005730121095705698
2023-09-25,2023,9,25,0.0034676307354164493
2023-09-24,2023,9,24,-0.002067632145735132
2023-09-23,2023,9,23,0.012361335466419376
2023-09-22,2023,9,22,-0.00011475166529528735
2023-09-21,2023,9,21,-0.0007765186872283891
2023-09-20,2023,9,20,0.02104669405431281
2023-09-19,2023,9,19,0.003289345877625749
2023-09-18,2023,9,18,-0.017515203111265976
2023-09-17,2023,9,17,-0.0077845129388602885
2023-09-16,2023,9,16,0.0008186943056180951
2023-09-15,2023,9,15,0.002804020278459163
2023-09-14,2023,9,14,-0.0037425797472199207
